timestamp,pos_x,pos_y,heading
0.000000,0.008172,0.000029,0.007053
0.010000,0.019609,-0.652943,-0.045230
0.020000,-0.005580,-0.288779,0.035687
0.030000,0.133764,-0.288180,0.042349
0.040000,0.121709,-0.234439,0.078384
0.050000,0.065724,-0.247440,0.076495
0.060000,0.099121,-0.137238,0.189803
0.070000,0.087764,-0.110401,0.227356
0.080000,0.159286,-0.066987,0.280501
0.090000,0.188263,0.009264,0.399230
0.100000,0.254278,0.045445,0.437971
0.110000,0.225414,0.047651,0.452552
0.120000,0.267058,0.192175,0.717512
0.130000,0.301791,0.180938,0.654703
0.140000,0.402808,0.224514,0.649970
0.150000,0.493347,0.213195,0.534395
0.160000,0.455387,0.357167,0.869071
0.170000,0.426146,0.459984,1.089260
0.180000,0.495989,0.429956,0.921772
0.190000,0.554453,0.291324,0.582712
0.200000,0.618940,0.319186,0.560354
0.210000,0.756600,0.177883,0.157293
0.220000,0.773955,0.128219,0.083541
0.230000,0.835249,0.044123,-0.090917
0.240000,0.867838,0.060170,-0.050725
0.250000,0.784710,0.239887,0.360438
0.260000,0.799034,0.237576,0.355324
0.270000,0.810344,0.336221,0.519221
0.280000,0.855929,0.323977,0.468980
0.290000,0.839765,0.461865,0.693643
0.300000,0.836929,0.513593,0.763438
0.310000,0.910632,0.457898,0.624969
0.320000,0.918678,0.545214,0.735141
0.330000,1.048340,0.418634,0.477118
0.340000,1.101696,0.390108,0.413767
0.350000,1.123561,0.393987,0.415124
0.360000,1.116138,0.410202,0.449004
0.370000,1.138747,0.412340,0.446498
0.380000,1.200518,0.411006,0.418035
0.390000,1.284679,0.355133,0.321273
0.400000,1.329845,0.293734,0.246691
0.410000,1.396767,0.300868,0.236459
0.420000,1.480120,0.258544,0.170348
0.430000,1.531131,0.285911,0.191893
0.440000,1.554456,0.274095,0.186382
0.450000,1.570076,0.307833,0.227091
0.460000,1.577008,0.437087,0.356620
0.470000,1.624836,0.433750,0.344197
0.480000,1.641989,0.461638,0.370922
0.490000,1.709221,0.381330,0.286348
0.500000,1.763035,0.390418,0.286240
0.510000,1.765356,0.419689,0.319336
0.520000,1.835862,0.443513,0.325212
0.530000,1.883453,0.432036,0.310162
0.540000,1.951099,0.404353,0.277774
0.550000,1.970929,0.466716,0.328652
0.560000,2.001394,0.493486,0.347842
0.570000,2.060942,0.460524,0.315197
0.580000,2.104255,0.486967,0.330689
0.590000,2.175104,0.476134,0.312618
0.600000,2.242087,0.404270,0.254962
0.610000,2.286742,0.407004,0.255515
0.620000,2.317902,0.438003,0.277952
0.630000,2.372262,0.412521,0.257691
0.640000,2.421583,0.453141,0.281574
0.650000,2.492034,0.421463,0.254849
0.660000,2.549448,0.411858,0.245749
0.670000,2.552906,0.491371,0.302097
0.680000,2.611131,0.477227,0.289555
0.690000,2.644919,0.480938,0.292911
0.700000,2.688997,0.415544,0.254566
0.710000,2.749637,0.380428,0.231830
0.720000,2.750900,0.423006,0.264311
0.730000,2.768395,0.518955,0.321960
0.740000,2.813532,0.521750,0.322336
0.750000,2.841688,0.564437,0.346969
0.760000,2.891400,0.508925,0.315713
0.770000,2.906098,0.544137,0.338394
0.780000,2.928832,0.549731,0.343989
0.790000,2.973169,0.574681,0.355594
0.800000,3.001779,0.658435,0.398419
