timestamp,pos_x,pos_y
22714,4477418.530399,589612.944409
22815,4477418.888643,589613.407568
22916,4477419.266460,589613.845641
23017,4477419.627698,589614.308425
23119,4477419.976218,589614.756772
23220,4477420.303983,589615.233444
23321,4477420.620360,589615.741804
23422,4477420.922045,589616.237702
23523,4477421.239682,589616.712204
23624,4477421.546440,589617.196082
23725,4477421.847713,589617.685369
23826,4477422.130402,589618.180307
23927,4477422.421195,589618.684478
24028,4477422.709531,589619.178160
24129,4477423.022599,589619.660435
24230,4477423.331552,589620.169987
24332,4477423.648063,589620.652391
24432,4477423.952982,589621.149522
24533,4477424.256467,589621.638188
24634,4477424.568133,589622.114628
24735,4477424.888650,589622.588586
24836,4477425.226041,589623.053097
24937,4477425.540655,589623.516184
25038,4477425.831628,589623.988968
25138,4477426.139891,589624.459341
25240,4477426.437647,589624.914487
25341,4477426.741455,589625.365149
25442,4477427.061921,589625.816291
25543,4477427.370834,589626.285299
25644,4477427.660724,589626.760387
25745,4477427.951276,589627.262863
25847,4477428.252093,589627.741892
25947,4477428.563460,589628.230463
26048,4477428.860435,589628.703770
26148,4477429.154631,589629.186185
26250,4477429.426630,589629.678281
26351,4477429.706917,589630.185800
26452,4477430.012193,589630.666301
26553,4477430.331974,589631.162236
26653,4477430.647723,589631.673657
26755,4477430.959288,589632.178765
26856,4477431.257585,589632.679029
26957,4477431.572377,589633.166202
27058,4477431.893476,589633.642272
27159,4477432.214573,589634.127504
27260,4477432.531499,589634.607442
27361,4477432.833755,589635.095358
27462,4477433.143515,589635.588698
27563,4477433.481496,589636.056170
27664,4477433.798335,589636.519483
27765,4477434.124527,589636.994475
27866,4477434.465606,589637.470222
27967,4477434.775177,589637.947872
28068,4477435.076088,589638.471768
28168,4477435.406746,589638.948742
28271,4477435.715002,589639.437011
28372,4477436.058511,589639.911795
28472,4477436.375602,589640.405471
28573,4477436.672124,589640.896594
28673,4477436.983130,589641.392040
28775,4477437.286716,589641.879685
28877,4477437.586978,589642.358634
28976,4477437.885013,589642.827686
29078,4477438.177062,589643.316063
29178,4477438.474158,589643.799461
29280,4477438.766859,589644.277397
29381,4477439.053312,589644.762025
29482,4477439.347495,589645.224676
29583,4477439.644540,589645.675927
29688,4477440.226674,589646.590616
29886,4477440.521207,589647.045375
29991,4477441.058925,589647.949993
30088,4477441.336333,589648.383836
30188,4477441.619661,589648.802171
30396,4477442.178340,589649.630794
30492,4477442.452552,589650.038720
30592,4477442.715671,589650.447458
30693,4477442.975499,589650.850128
