timestamp,pos_x,pos_y,acc
59906,4477462.902276,589599.359968,14.100000
60008,4477462.904064,589599.360964,14.100000
60111,4477462.902952,589599.360808,14.100000
60214,4477462.902736,589599.361320,14.100000
60317,4477462.903074,589599.361740,14.100000
60420,4477462.900967,589599.361934,14.100000
60522,4477462.902957,589599.361232,14.100000
60624,4477462.901855,589599.361924,14.100000
60726,4477462.901860,589599.362348,14.100000
60826,4477462.903416,589599.362499,14.100000
60930,4477462.901637,589599.362266,14.100000
61031,4477462.901952,589599.360735,14.100000
61135,4477462.901749,589599.362349,14.100000
61236,4477462.902052,589599.359801,14.100000
61339,4477462.902073,589599.361582,14.100000
61439,4477462.902049,589599.359547,14.100000
61541,4477462.902082,589599.362345,14.100000
61642,4477462.901220,589599.364476,14.100000
61744,4477462.902869,589599.363184,14.100000
61846,4477462.902194,589599.362429,14.100000
61949,4477462.902552,589599.364460,14.100000
62051,4477462.902072,589599.361497,14.100000
62178,4477462.908156,589599.368973,14.100000
62275,4477462.907707,589599.368555,14.100000
62380,4477462.908376,589599.368801,14.100000
62479,4477462.909809,589599.367936,14.100000
62582,4477462.912832,589599.370020,14.100000
62684,4477462.906605,589599.369246,14.100000
62786,4477462.908595,589599.368544,14.100000
62888,4477462.910821,589599.369026,14.100000
62990,4477462.910892,589599.374963,14.100000
63091,4477462.904609,589599.378685,14.100000
63194,4477462.903935,589599.387345,14.100000
63295,4477462.902881,589599.382692,14.100000
63397,4477462.899461,589599.375269,14.100000
63501,4477462.902957,589599.370477,14.100000
63602,4477462.905465,589599.375961,14.100000
63703,4477462.903627,589599.380139,14.100000
63804,4477462.909155,589599.378207,14.100000
63906,4477462.907282,589599.379417,14.100000
64008,4477462.902555,589599.383290,14.100000
64111,4477462.908588,589599.386526,14.100000
64214,4477462.909961,589599.380657,14.100000
64315,4477462.909804,589599.376757,14.100000
64419,4477462.910896,589599.375217,14.100000
64522,4477462.907376,589599.377974,14.100000
64621,4477462.910481,589599.377682,14.100000
64724,4477462.912287,589599.380205,14.100000
64828,4477462.912321,589599.373758,14.100000
64930,4477462.914234,589599.375856,14.100000
65033,4477462.907217,589599.373989,14.100000
65135,4477462.906002,589599.374512,14.100000
65236,4477462.910026,589599.376754,14.100000
65339,4477462.910249,589599.376837,14.100000
65440,4477462.910813,589599.377593,14.100000
65541,4477462.908388,589599.379064,14.100000
65642,4477462.908173,589599.379660,14.100000
65744,4477462.908462,589599.375925,14.100000
65845,4477462.909034,589599.377360,14.100000
65948,4477462.911050,589599.378863,14.100000
66050,4477462.912510,589599.380287,14.100000
66151,4477462.912950,589599.379943,14.100000
66251,4477462.911305,589599.381574,14.100000
66353,4477462.910934,589599.387685,14.100000
66454,4477462.912731,589599.380200,14.100000
66563,4477462.910537,589599.382346,14.100000
66766,4477462.917542,589599.383280,14.100000
66863,4477462.911874,589599.382755,14.100000
66964,4477462.916727,589599.380152,14.100000
67065,4477462.911939,589599.378937,14.100000
67168,4477462.913945,589599.379591,14.100000
67269,4477462.911874,589599.382755,14.100000
67372,4477462.915425,589599.382627,14.100000
67474,4477462.913154,589599.387659,14.100000
67576,4477462.913210,589599.383078,14.100000
67676,4477462.917403,589599.380907,14.100000
67780,4477462.912228,589599.384532,14.100000
67884,4477462.913783,589599.384598,14.100000
67983,4477462.914185,589599.381030,14.100000
68084,4477462.912542,589599.382916,14.100000
68186,4477462.914452,589599.384844,14.100000
68289,4477462.913449,589599.384517,14.100000
68391,4477462.912323,589599.383173,14.100000
68492,4477462.912774,589599.383762,14.100000
68593,4477462.913894,589599.384596,14.100000
68694,4477462.915076,589599.381274,14.100000
68796,4477462.915324,589599.383477,14.100000
68898,4477462.915866,589599.382367,14.100000
69000,4477462.906724,589599.388414,14.100000
69101,4477462.908583,589599.386102,14.100000
69203,4477462.907247,589599.385779,14.100000
69305,4477462.907469,589599.385776,14.100000
69406,4477462.906479,589599.386551,14.100000
69509,4477462.907770,589599.383058,14.100000
69611,4477462.909665,589599.383714,14.100000
69714,4477462.910218,589599.383538,14.100000
69815,4477462.910309,589599.381840,14.100000
69917,4477462.910573,589599.385400,14.100000
70021,4477462.910095,589599.382521,14.100000
70123,4477462.909426,589599.382275,14.100000
