timestamp,pos_x,pos_y,heading
17729,4477313.958229,589756.748729,3.141593
17737,4477313.537562,589756.748729,3.141593
17749,4477312.989872,589756.757079,3.111104
17760,4477312.518663,589756.778678,3.080471
17771,4477312.062459,589756.813617,3.049839
17778,4477311.765130,589756.843957,3.029967
17784,4477311.506724,589756.875153,3.012933
17797,4477310.940228,589756.958563,2.977875
17808,4477310.450671,589757.046915,2.948210
17820,4477309.915190,589757.159783,2.919515
17832,4477313.958354,589756.748729,2.985983
17839,4477313.389282,589756.843134,2.968413
17850,4477312.609696,589756.989234,2.944254
17861,4477311.858100,589757.148677,2.920853
17872,4477311.110440,589757.325662,2.897451
17883,4477310.366666,589757.518341,2.878770
17895,4477309.559538,589757.744339,2.858391
17901,4477309.167375,589757.860587,2.848446
17907,4477308.776389,589757.980728,2.838501
17920,4477307.998096,589758.232644,2.818611
17933,4477310.625268,589757.606742,2.795581
17941,4477310.112485,589757.792967,2.790894
17948,4477309.667803,589757.955934,2.789731
17955,4477309.223312,589758.119417,2.788569
17967,4477308.398334,589758.424399,2.786410
17980,4477307.573919,589758.730894,2.784899
17988,4477307.044589,589758.928432,2.783928
17995,4477306.581583,589759.101700,2.783079
18007,4477305.788203,589759.399644,2.781623
18020,4477304.928944,589759.723041,2.781623
18034,4477307.612348,589758.973766,2.719170
18043,4477307.067386,589759.218717,2.719170
18053,4477306.401323,589759.518100,2.719170
18064,4477305.735261,589759.817483,2.719170
18076,4477305.008648,589760.144082,2.719170
18082,4477304.635294,589760.311898,2.719170
18089,4477304.261940,589760.479714,2.719170
18101,4477303.577458,589760.787376,2.719170
18110,4477302.892978,589761.095037,2.719170
18120,4477302.208498,589761.402699,2.719170
18124,4477302.016411,589761.489038,2.719170
18137,4477304.948313,589760.628677,2.615222
18144,4477304.523427,589760.875558,2.615222
18160,4477303.430866,589761.510392,2.615222
18167,4477303.126156,589761.687445,2.615222
18171,4477302.760504,589761.899907,2.615222
18183,4477302.090144,589762.289421,2.615222
18194,4477301.419785,589762.678934,2.615222
18206,4477300.688485,589763.103857,2.615222
18210,4477300.445696,589763.244930,2.615222
18218,4477299.960118,589763.527076,2.615222
18230,4477299.231752,589763.950295,2.615222
18242,4477302.596244,589762.998227,2.408223
18252,4477302.179015,589763.374152,2.408223
18259,4477301.714355,589763.792812,2.408223
