timestamp,pos_x,pos_y,accuracy
564342,4477440.118305,589646.468754,14.100000
564445,4477440.050808,589646.357599,14.100000
564548,4477439.979437,589646.256669,14.100000
564650,4477439.916459,589646.152076,14.100000
564752,4477439.841739,589646.040329,14.100000
564852,4477439.774364,589645.930106,14.100000
564954,4477439.699522,589645.817428,14.100000
565061,4477439.548049,589645.600319,14.100000
565158,4477439.481462,589645.481774,14.100000
565259,4477439.401216,589645.381374,14.100000
565362,4477439.330157,589645.269414,14.100000
565463,4477439.269604,589645.163350,14.100000
565566,4477439.193131,589645.044245,14.100000
565668,4477439.125188,589644.942256,14.100000
565769,4477439.054682,589644.830119,14.100000
565870,4477438.987167,589644.717438,14.100000
565973,4477438.919773,589644.605603,14.100000
566077,4477438.841052,589644.484234,14.100000
566180,4477438.759888,589644.381386,14.100000
566281,4477438.689227,589644.265603,14.100000
566383,4477438.610514,589644.163404,14.100000
566485,4477438.542522,589644.048014,14.100000
566588,4477438.473078,589643.941123,14.100000
566690,4477438.406412,589643.825209,14.100000
566791,4477438.335211,589643.729196,14.100000
566894,4477438.266256,589643.616786,14.100000
566995,4477438.191060,589643.520991,14.100000
567095,4477438.116182,589643.414590,14.100000
567196,4477438.053230,589643.312117,14.100000
567299,4477437.977804,589643.206316,14.100000
567400,4477437.906209,589643.105303,14.100000
567502,4477437.841893,589643.009463,14.100000
567604,4477437.772318,589642.900877,14.100000
567733,4477437.703817,589642.807886,14.100000
567833,4477437.630347,589642.707829,14.100000
567936,4477437.559587,589642.602312,14.100000
568038,4477437.477968,589642.498535,14.100000
568142,4477437.398752,589642.382177,14.100000
568242,4477437.332485,589642.271771,14.100000
568348,4477437.252125,589642.171118,14.100000
568450,4477437.189169,589642.068306,14.100000
568551,4477437.110206,589641.954574,14.100000
568653,4477437.030289,589641.853831,14.100000
568759,4477436.892639,589641.632231,14.100000
568958,4477436.812560,589641.536494,14.100000
569064,4477436.655731,589641.317160,14.100000
569162,4477436.576341,589641.214121,14.100000
569264,4477436.503158,589641.100913,14.100000
569368,4477436.424917,589641.001083,14.100000
569470,4477436.351130,589640.893057,14.100000
569573,4477436.274467,589640.795244,14.100000
569674,4477436.202035,589640.679907,14.100000
569776,4477436.125294,589640.575563,14.100000
569879,4477436.036712,589640.465085,14.100000
569980,4477435.970796,589640.356116,14.100000
570083,4477435.893406,589640.234646,14.100000
570185,4477435.802383,589640.124282,14.100000
570288,4477435.725886,589640.012556,14.100000
570388,4477435.639876,589639.903574,14.100000
570491,4477435.557223,589639.796926,14.100000
570592,4477435.478794,589639.681406,14.100000
570696,4477435.398347,589639.573460,14.100000
570797,4477435.307718,589639.468180,14.100000
570900,4477435.237645,589639.355189,14.100000
571000,4477435.154334,589639.249143,14.100000
571102,4477435.077071,589639.138275,14.100000
571203,4477434.991457,589639.025301,14.100000
571306,4477434.922422,589638.906276,14.100000
571406,4477434.854765,589638.800297,14.100000
571508,4477434.778510,589638.680850,14.100000
571610,4477434.704657,589638.576641,14.100000
571713,4477434.625177,589638.456723,14.100000
