timestamp,pos_x,pos_y,accuracy
9796,4477485.581683,589682.539501,26722726.400000
9902,4495567.527535,579941.135355,503756.300000
10003,4495560.216815,579942.146331,504151.100000
10105,4495526.251551,579963.421640,465104.500000
10210,4495497.726807,579979.969596,434534.600000
10311,4495489.627909,579981.780030,434856.900000
10416,4495481.529011,579983.590468,435196.300000
10524,4495473.430002,579985.400826,435552.800000
10629,4495457.136769,579990.234133,410778.000000
10732,4495449.208666,579991.801016,411116.200000
10834,4495434.639864,579995.972943,390105.200000
10936,4495421.282981,579999.674538,372374.200000
11042,4495401.278470,580004.085370,357262.400000
11143,4495393.738489,580005.146186,357559.100000
11246,4495386.198397,580006.207090,357869.700000
11353,4495378.658416,580007.267910,358194.200000
11458,4495371.118435,580008.328731,358532.600000
11559,4495363.578343,580009.389556,358884.900000
11663,4495356.038363,580010.450466,359251.000000
11767,4495348.498272,580011.511295,359631.000000
11867,4495344.089410,580014.534760,345687.700000
11973,4495336.870429,580015.569129,346054.400000
12079,4495332.570833,580018.078248,333822.900000
12187,4495327.842613,580020.350827,322880.300000
12294,4495322.881828,580022.387214,312984.900000
12399,4495317.852991,580024.227271,304120.200000
12503,4495312.554597,580026.025381,295768.000000
12609,4495307.267845,580027.708378,288097.900000
12712,4495299.058644,580032.187534,281117.500000
12816,4495290.024783,580036.095873,274732.700000
12917,4495281.115959,580039.862418,268635.600000
13020,4495272.305706,580043.514022,262945.300000
13127,4495269.062657,580041.900852,257621.700000
13234,4495265.819143,580040.316623,252629.100000
13335,4495261.739494,580038.426700,248000.000000
13437,4495257.736096,580036.545347,243679.700000
13546,4495249.811375,580035.543983,239813.100000
13647,4495247.422602,580033.868571,235894.700000
13751,4495242.356100,580034.228391,236136.600000
13855,4495237.289597,580034.588128,236387.200000
13958,4495232.223206,580034.947948,236646.800000
14059,4495227.156703,580035.307685,236915.100000
14182,4495222.090200,580035.667422,237192.200000
14286,4495217.023809,580036.027243,237478.100000
