timestamp,pos_x,pos_y,heading
10976,-0.000154,0.000000,3.141225
10979,-0.000154,0.000000,3.141225
10983,-0.000154,0.000000,3.141225
10986,-0.000154,0.000000,3.141225
10990,-0.000154,0.000000,3.141225
10993,-0.000154,0.000000,3.141225
10996,-0.000154,0.000000,3.141225
10999,-0.000154,0.000000,3.141225
11003,-0.000154,0.000000,3.141225
11006,-0.000154,0.000000,3.141225
11010,-0.000154,0.000000,3.141225
11014,-0.000154,0.000000,3.141225
11019,-0.000154,0.000000,3.141225
11022,-0.000154,0.000000,3.141225
11027,-0.000154,0.000000,3.141225
11030,-0.000154,0.000000,3.141225
11034,-0.000154,0.000000,3.141225
11039,-0.000154,0.000000,3.141225
11042,-0.000154,0.000000,3.141225
11045,-0.000154,0.000000,3.141225
11054,-0.000154,0.000000,3.141225
11059,-0.000154,0.000000,3.141225
11063,-0.000154,0.000000,3.141225
11067,-0.000154,0.000000,3.141225
11070,-0.025347,0.000250,3.122152
11074,-0.048737,0.000704,3.122152
11080,0.027791,0.010779,3.122491
11084,0.027791,0.010779,3.122491
11087,0.027791,0.010779,3.122491
11092,0.027791,0.010779,3.122491
11095,0.027791,0.010779,3.122491
11100,0.027791,0.010779,3.122491
11105,0.027791,0.010779,3.122491
11108,0.027791,0.010779,3.122491
11112,0.027791,0.010779,3.122491
11116,0.027791,0.010779,3.122491
11119,0.027791,0.010779,3.122491
11123,0.027791,0.010779,3.122491
11128,0.027791,0.010779,3.122491
11131,0.027791,0.010779,3.122491
11135,0.027791,0.010779,3.122491
11139,0.027791,0.010779,3.122491
11146,0.027791,0.010779,3.122491
11150,-0.002032,0.011348,3.122491
11153,-0.027116,0.011828,3.122491
11157,-0.027116,0.011828,3.122491
11161,-0.027116,0.011828,3.122491
11164,-0.027116,0.011828,3.122491
11168,-0.027116,0.011828,3.122491
11172,-0.027116,0.011828,3.122491
11175,-0.027116,0.011828,3.122491
11178,-0.027116,0.011828,3.122491
11188,0.046809,0.021540,3.123197
11194,0.046809,0.021540,3.123197
11198,0.046809,0.021540,3.123197
11201,0.046809,0.021540,3.123197
11206,0.046809,0.021540,3.123197
11209,0.046809,0.021540,3.123197
11212,0.046809,0.021540,3.123197
11217,0.046809,0.021540,3.123197
11221,0.046809,0.021540,3.123197
11224,0.046809,0.021540,3.123197
11229,0.046809,0.021540,3.123197
11232,0.046809,0.021540,3.123197
11240,0.046809,0.021540,3.123197
11244,0.046809,0.021540,3.123197
11247,0.046809,0.021540,3.123197
11252,0.046809,0.021540,3.123197
11255,0.046809,0.021540,3.123197
11258,0.046809,0.021540,3.123197
11263,0.046809,0.021540,3.123197
11266,0.046809,0.021540,3.123197
11270,0.046809,0.021540,3.123197
11274,0.046809,0.021540,3.123197
11279,0.046809,0.021540,3.123197
11288,0.121047,0.031293,3.123902
11293,0.121047,0.031293,3.123902
11296,0.121047,0.031293,3.123902
11300,0.121047,0.031293,3.123902
11305,0.121047,0.031293,3.123902
11308,0.121047,0.031293,3.123902
11311,0.121047,0.031293,3.123902
11316,0.121047,0.031293,3.123902
11321,0.121047,0.031293,3.123902
11324,0.095127,0.031751,3.123902
11329,0.066233,0.032263,3.123902
11334,0.066233,0.032263,3.123902
11338,0.066233,0.032263,3.123902
11342,0.066233,0.032263,3.123902
11345,0.040854,0.032712,3.123902
11349,0.012401,0.033215,3.123902
11354,0.012401,0.033215,3.123902
11357,0.012401,0.033215,3.123902
11362,0.012401,0.033215,3.123902
11366,0.012401,0.033215,3.123902
11370,0.012401,0.033215,3.123902
11373,0.012401,0.033215,3.123902
11377,0.012401,0.033215,3.123902
11381,0.012401,0.033215,3.123902
11404,0.086849,0.042941,3.125357
11423,0.086849,0.042941,3.125357
11430,0.086849,0.042941,3.125357
11436,0.086849,0.042941,3.125357
11439,0.086849,0.042941,3.125357
11443,0.086849,0.042941,3.125357
11454,0.086849,0.042941,3.125357
11458,0.086849,0.042941,3.125357
11464,0.086849,0.042941,3.125357
11469,0.086849,0.042941,3.125357
11473,0.086849,0.042941,3.125357
11477,0.086849,0.042941,3.125357
11482,0.086849,0.042941,3.125357
11486,0.086849,0.042941,3.125357
11489,0.086849,0.042941,3.125357
11494,0.086849,0.042941,3.125357
11497,0.086849,0.042941,3.125357
11508,0.161824,0.052706,3.126812
11515,0.161824,0.052706,3.126812
11519,0.161824,0.052706,3.126812
11522,0.161824,0.052706,3.126812
11530,0.161824,0.052706,3.126812
11537,0.161824,0.052706,3.126812
11545,0.161824,0.052706,3.126812
11552,0.161824,0.052706,3.126812
11560,0.161824,0.052706,3.126812
