timestamp,pos_x,pos_y,accuracy
68140,4477294.293777,589750.374795,49.700000
68241,4477294.295478,589750.368498,49.600000
68345,4477294.296624,589750.371538,49.700000
68446,4477294.299456,589750.366923,49.700000
68550,4477294.301996,589750.365875,49.700000
68653,4477294.300250,589750.368356,49.700000
68753,4477294.307532,589750.346045,49.500000
68857,4477294.314226,589750.330273,49.400000
68957,4477294.319959,589750.317651,49.400000
69060,4477294.324099,589750.301824,49.400000
69163,4477294.330382,589750.288856,49.500000
69264,4477294.339351,589750.277637,49.500000
69367,4477294.343060,589750.262918,49.500000
69467,4477294.348747,589750.255725,49.500000
69568,4477294.346804,589750.251083,49.600000
69671,4477294.357535,589750.238655,49.700000
69773,4477294.364125,589750.232723,49.900000
69873,4477294.365505,589750.218202,50.400000
69973,4477294.359491,589750.216578,50.700000
70077,4477294.367016,589750.205291,51.100000
70177,4477294.366738,589750.200629,51.300000
70309,4477294.367001,589750.185528,52.200000
70407,4477294.367375,589750.188916,52.600000
70509,4477294.366406,589750.182227,52.900000
70615,4477294.366677,589750.177050,53.100000
70717,4477294.366342,589750.176884,52.600000
70819,4477294.356576,589750.186416,52.100000
70923,4477294.358310,589750.182918,51.600000
71024,4477294.354973,589750.191610,51.300000
71125,4477294.347745,589750.190594,51.000000
71227,4477294.347601,589750.197127,50.900000
71329,4477294.347214,589750.192636,50.700000
71430,4477294.342207,589750.200923,50.600000
71533,4477294.343221,589750.202184,50.500000
71638,4477294.342151,589750.205589,50.300000
71740,4477294.336383,589750.205998,50.200000
71845,4477294.329254,589750.213208,50.000000
71947,4477294.326166,589750.214942,49.800000
72049,4477294.319826,589750.213915,49.700000
72149,4477294.308487,589750.212694,49.800000
72250,4477294.307944,589750.213718,49.800000
72354,4477294.306723,589750.213733,49.700000
72454,4477294.298335,589750.217820,49.600000
72559,4477294.301935,589750.221763,49.500000
72660,4477294.297883,589750.217147,49.400000
72761,4477294.288242,589750.218619,49.000000
72861,4477294.283321,589750.224870,48.700000
72963,4477294.270289,589750.230540,48.700000
73068,4477294.266488,589750.228380,48.700000
73171,4477294.261060,589750.238624,48.700000
73274,4477294.255769,589750.241741,48.900000
73374,4477294.251337,589750.242472,49.200000
73477,4477294.241757,589750.249034,49.500000
73577,4477294.241950,589750.246571,49.800000
73680,4477294.238656,589750.249665,50.200000
73781,4477294.238636,589750.238723,50.300000
73889,4477294.241887,589750.232068,50.500000
73997,4477294.248050,589750.209092,50.700000
74199,4477294.250351,589750.197274,51.000000
74299,4477294.251639,589750.184281,51.000000
74401,4477294.254180,589750.173987,51.100000
74503,4477294.250625,589750.173775,51.000000
74604,4477294.254845,589750.164649,51.000000
74706,4477294.257017,589750.151305,51.000000
74810,4477294.263115,589750.132147,50.300000
74917,4477294.271980,589750.093702,49.600000
75019,4477294.282831,589750.063545,49.000000
75122,4477294.288633,589750.047444,48.600000
75224,4477294.292509,589750.037388,48.300000
75324,4477294.301746,589750.020737,48.100000
75428,4477294.306703,589749.998964,47.900000
75531,4477294.315154,589749.981559,47.700000
75633,4477294.316318,589749.976795,47.600000
75739,4477294.320829,589749.964102,47.400000
75842,4477294.329853,589749.938972,47.100000
75944,4477294.333145,589749.926463,47.000000
76046,4477294.335421,589749.912610,46.900000
76146,4477294.345619,589749.892724,46.900000
76253,4477294.347681,589749.879552,46.800000
76357,4477294.349412,589749.866469,46.900000
76457,4477294.354047,589749.854878,47.000000
76561,4477294.352757,589749.849125,47.100000
76663,4477294.359700,589749.835640,47.400000
76765,4477294.359067,589749.829116,47.500000
76869,4477294.368842,589749.801771,47.200000
76972,4477294.375269,589749.782270,47.100000
77073,4477294.386455,589749.761524,46.900000
77178,4477294.395381,589749.737413,46.800000
77280,4477294.404712,589749.719319,46.600000
77382,4477294.408556,589749.706634,46.500000
77483,4477294.412705,589749.691571,46.300000
77587,4477294.419314,589749.677920,46.200000
77688,4477294.425808,589749.664016,46.000000
77788,4477294.424064,589749.657421,45.800000
77890,4477294.438033,589749.627990,45.300000
77990,4477294.444843,589749.612641,45.100000
78094,4477294.452696,589749.591680,45.000000
78199,4477294.463752,589749.560079,44.800000
78299,4477294.468908,589749.545597,44.900000
78403,4477294.473416,589749.532735,44.900000
78503,4477294.478117,589749.526657,45.000000
78609,4477294.483765,589749.506995,45.100000
78709,4477294.485378,589749.502565,45.200000
78812,4477294.485759,589749.488056,44.800000
78913,4477294.490812,589749.465009,44.500000
79017,4477294.492532,589749.460323,44.400000
79118,4477294.491659,589749.452360,44.200000
