timestamp,c1,c2,c3,c4,c5,c6,c7,c8,c9
10444,2.090591,-0.003797,-0.018791,-0.003797,2.063609,-0.136131,-0.018791,-0.136131,4.132600
10447,2.090891,-0.003797,-0.018791,-0.003797,2.063909,-0.136131,-0.018791,-0.136131,4.133500
10450,2.091291,-0.003797,-0.018791,-0.003797,2.064309,-0.136131,-0.018791,-0.136131,4.134700
10453,2.091591,-0.003797,-0.018791,-0.003797,2.064609,-0.136131,-0.018791,-0.136131,4.135600
10457,2.091992,-0.003793,-0.018727,-0.003793,2.065029,-0.135902,-0.018727,-0.135902,4.136800
10461,2.092292,-0.003793,-0.018727,-0.003793,2.065329,-0.135902,-0.018727,-0.135902,4.137700
10464,2.092592,-0.003793,-0.018727,-0.003793,2.065629,-0.135902,-0.018727,-0.135902,4.138600
10468,2.092992,-0.003788,-0.018661,-0.003788,2.066050,-0.135667,-0.018661,-0.135667,4.139800
10471,2.093394,-0.003782,-0.018567,-0.003782,2.066480,-0.135334,-0.018567,-0.135334,4.141000
10475,2.093695,-0.003778,-0.018499,-0.003778,2.066801,-0.135092,-0.018499,-0.135092,4.141900
10479,2.094195,-0.003778,-0.018499,-0.003778,2.067301,-0.135092,-0.018499,-0.135092,4.143400
10482,2.094495,-0.003778,-0.018499,-0.003778,2.067601,-0.135092,-0.018499,-0.135092,4.144300
10487,2.094995,-0.003778,-0.018499,-0.003778,2.068101,-0.135092,-0.018499,-0.135092,4.145800
10492,2.095395,-0.003778,-0.018499,-0.003778,2.068501,-0.135092,-0.018499,-0.135092,4.147000
10499,2.096095,-0.003773,-0.018427,-0.003773,2.069224,-0.134836,-0.018427,-0.134836,4.149100
10503,2.096596,-0.003768,-0.018346,-0.003768,2.069749,-0.134548,-0.018346,-0.134548,4.150600
10507,2.096896,-0.003768,-0.018346,-0.003768,2.070049,-0.134548,-0.018346,-0.134548,4.151500
10510,2.097196,-0.003768,-0.018346,-0.003768,2.070349,-0.134548,-0.018346,-0.134548,4.152400
10515,2.097697,-0.003762,-0.018265,-0.003762,2.070874,-0.134259,-0.018265,-0.134259,4.153900
10518,2.097997,-0.003762,-0.018265,-0.003762,2.071174,-0.134259,-0.018265,-0.134259,4.154800
10522,2.098397,-0.003762,-0.018265,-0.003762,2.071574,-0.134259,-0.018265,-0.134259,4.156000
10526,2.098897,-0.003762,-0.018265,-0.003762,2.072074,-0.134259,-0.018265,-0.134259,4.157500
10531,2.099297,-0.003762,-0.018265,-0.003762,2.072474,-0.134259,-0.018265,-0.134259,4.158700
10535,2.099697,-0.003762,-0.018265,-0.003762,2.072874,-0.134259,-0.018265,-0.134259,4.159900
10539,2.100198,-0.003757,-0.018188,-0.003757,2.073398,-0.133984,-0.018188,-0.133984,4.161400
10543,2.100498,-0.003757,-0.018188,-0.003757,2.073698,-0.133984,-0.018188,-0.133984,4.162300
10548,2.100799,-0.003753,-0.018120,-0.003753,2.074019,-0.133741,-0.018120,-0.133741,4.163200
10552,2.101501,-0.003746,-0.018005,-0.003746,2.074755,-0.133332,-0.018005,-0.133332,4.165300
10555,2.101801,-0.003746,-0.018005,-0.003746,2.075055,-0.133332,-0.018005,-0.133332,4.166200
10559,2.102101,-0.003746,-0.018005,-0.003746,2.075355,-0.133332,-0.018005,-0.133332,4.167100
10564,2.102602,-0.003741,-0.017929,-0.003741,2.075878,-0.133059,-0.017929,-0.133059,4.168600
10567,2.102902,-0.003741,-0.017929,-0.003741,2.076178,-0.133059,-0.017929,-0.133059,4.169500
10571,2.103302,-0.003741,-0.017929,-0.003741,2.076578,-0.133059,-0.017929,-0.133059,4.170700
10576,2.103904,-0.003730,-0.017764,-0.003730,2.077229,-0.132472,-0.017764,-0.132472,4.172500
10580,2.104204,-0.003730,-0.017764,-0.003730,2.077529,-0.132472,-0.017764,-0.132472,4.173400
10583,2.104604,-0.003730,-0.017764,-0.003730,2.077929,-0.132472,-0.017764,-0.132472,4.174600
10591,2.105105,-0.003725,-0.017687,-0.003725,2.078452,-0.132198,-0.017687,-0.132198,4.176100
10594,2.105605,-0.003721,-0.017622,-0.003721,2.078972,-0.131965,-0.017622,-0.131965,4.177600
10598,2.106006,-0.003716,-0.017533,-0.003716,2.079399,-0.131647,-0.017533,-0.131647,4.178800
10602,2.106506,-0.003716,-0.017533,-0.003716,2.079899,-0.131647,-0.017533,-0.131647,4.180300
10606,2.106806,-0.003716,-0.017533,-0.003716,2.080199,-0.131647,-0.017533,-0.131647,4.181200
10609,2.107106,-0.003716,-0.017533,-0.003716,2.080499,-0.131647,-0.017533,-0.131647,4.182100
10613,2.107606,-0.003716,-0.017533,-0.003716,2.080999,-0.131647,-0.017533,-0.131647,4.183600
10618,2.108106,-0.003716,-0.017533,-0.003716,2.081499,-0.131647,-0.017533,-0.131647,4.185100
10621,2.108407,-0.003711,-0.017459,-0.003711,2.081821,-0.131385,-0.017459,-0.131385,4.186000
10626,2.108807,-0.003711,-0.017459,-0.003711,2.082221,-0.131385,-0.017459,-0.131385,4.187200
10629,2.109107,-0.003711,-0.017459,-0.003711,2.082521,-0.131385,-0.017459,-0.131385,4.188100
10632,2.109507,-0.003711,-0.017459,-0.003711,2.082921,-0.131385,-0.017459,-0.131385,4.189300
10635,2.109807,-0.003711,-0.017459,-0.003711,2.083221,-0.131385,-0.017459,-0.131385,4.190200
10640,2.110207,-0.003711,-0.017459,-0.003711,2.083621,-0.131385,-0.017459,-0.131385,4.191400
10643,2.110607,-0.003711,-0.017459,-0.003711,2.084021,-0.131385,-0.017459,-0.131385,4.192600
10652,2.110907,-0.003711,-0.017459,-0.003711,2.084321,-0.131385,-0.017459,-0.131385,4.193500
10657,2.111909,-0.003701,-0.017296,-0.003701,2.085370,-0.130802,-0.017296,-0.130802,4.196500
10662,2.112409,-0.003701,-0.017296,-0.003701,2.085870,-0.130802,-0.017296,-0.130802,4.198000
10665,2.112809,-0.003701,-0.017296,-0.003701,2.086270,-0.130802,-0.017296,-0.130802,4.199200
10670,2.113309,-0.003701,-0.017296,-0.003701,2.086770,-0.130802,-0.017296,-0.130802,4.200700
10674,2.113609,-0.003701,-0.017296,-0.003701,2.087070,-0.130802,-0.017296,-0.130802,4.201600
10677,2.113910,-0.003697,-0.017228,-0.003697,2.087390,-0.130560,-0.017228,-0.130560,4.202500
10682,2.114411,-0.003692,-0.017149,-0.003692,2.087913,-0.130281,-0.017149,-0.130281,4.204000
10687,2.114711,-0.003692,-0.017149,-0.003692,2.088213,-0.130281,-0.017149,-0.130281,4.204900
10691,2.115311,-0.003692,-0.017149,-0.003692,2.088813,-0.130281,-0.017149,-0.130281,4.206700
10695,2.115811,-0.003692,-0.017149,-0.003692,2.089313,-0.130281,-0.017149,-0.130281,4.208200
10699,2.116111,-0.003692,-0.017149,-0.003692,2.089613,-0.130281,-0.017149,-0.130281,4.209100
10704,2.116611,-0.003692,-0.017149,-0.003692,2.090113,-0.130281,-0.017149,-0.130281,4.210600
10708,2.117111,-0.003692,-0.017149,-0.003692,2.090613,-0.130281,-0.017149,-0.130281,4.212100
