timestamp,pos_x,pos_y,acc
56561,4477387.944060,589579.016450,14.100000
56666,4477387.947921,589579.014368,14.100000
56769,4477387.923154,589579.032053,14.100000
56874,4477387.920397,589579.033612,14.100000
56974,4477387.919957,589579.033957,14.100000
57075,4477387.923685,589579.030095,14.100000
57179,4477387.918595,589579.022183,14.100000
57283,4477387.921056,589579.023765,14.100000
57385,4477387.920866,589579.026397,14.100000
57486,4477387.916872,589579.026614,14.100000
57588,4477387.916382,589579.022803,14.100000
57691,4477387.912317,589579.026414,14.100000
57790,4477387.916348,589579.020005,14.100000
57892,4477387.921276,589579.014263,14.100000
57993,4477387.923970,589579.016775,14.100000
58094,4477387.918201,589579.017099,14.100000
58223,4477387.917000,589579.018809,14.100000
58326,4477387.916457,589579.019834,14.100000
58427,4477387.917568,589579.019905,14.100000
58530,4477387.916901,589579.019828,14.100000
58632,4477387.915852,589579.024930,14.100000
58732,4477387.916796,589579.020254,14.100000
58834,4477387.916798,589579.020423,14.100000
58934,4477387.918688,589579.020655,14.100000
59035,4477387.916686,589579.020340,14.100000
59138,4477387.917896,589579.019477,14.100000
59241,4477387.917313,589579.017109,14.100000
59346,4477387.917423,589579.017023,14.100000
59442,4477387.917348,589579.020078,14.100000
59544,4477387.915001,589579.018748,14.100000
59644,4477387.917889,589579.018884,14.100000
59856,4477387.917255,589579.021521,14.100000
59952,4477387.917138,589579.021013,14.100000
60059,4477387.917897,589579.019562,14.100000
60163,4477387.918935,589579.022773,14.100000
60266,4477387.920034,589579.021827,14.100000
60375,4477387.920958,589579.024869,14.100000
60481,4477387.920278,589579.023690,14.100000
60581,4477387.919846,589579.024713,14.100000
60683,4477387.922681,589579.029683,14.100000
60785,4477387.920607,589579.023347,14.100000
60886,4477387.925242,589579.021001,14.100000
60986,4477387.932761,589579.027782,14.100000
61092,4477387.927385,589579.023859,14.100000
61192,4477387.935105,589579.028856,14.100000
61293,4477387.935452,589579.030039,14.100000
61397,4477387.943044,589579.033596,14.100000
61497,4477387.947698,589579.032862,14.100000
61601,4477387.956454,589579.031654,14.100000
61704,4477387.956737,589579.036740,14.100000
61804,4477387.955022,589579.032605,14.100000
61908,4477387.950705,589579.033674,14.100000
62012,4477387.941422,589579.037178,14.100000
62112,4477387.930187,589579.026031,14.100000
62214,4477387.917610,589579.023382,14.100000
62314,4477387.897901,589579.018444,14.100000
62416,4477387.875185,589579.003448,14.100000
62517,4477387.845147,589578.988879,14.100000
62618,4477387.812058,589578.969851,14.100000
62719,4477387.775302,589578.950527,14.100000
62823,4477387.730616,589578.927227,14.100000
62923,4477387.684948,589578.886720,14.100000
63027,4477387.644116,589578.860744,14.100000
63127,4477387.585288,589578.824550,14.100000
63228,4477387.528881,589578.786632,14.100000
63329,4477387.476321,589578.754689,14.100000
63432,4477387.409329,589578.713504,14.100000
63532,4477387.344458,589578.673311,14.100000
63635,4477387.281826,589578.625373,14.100000
63737,4477387.213584,589578.581828,14.100000
63842,4477387.074868,589578.475086,14.100000
63941,4477387.017908,589578.409437,14.100000
64150,4477386.887931,589578.290886,14.100000
64247,4477386.818076,589578.223780,14.100000
64347,4477386.757627,589578.163516,14.100000
64554,4477386.642378,589578.013914,14.100000
64671,4477386.581670,589577.931939,14.100000
64773,4477386.514192,589577.859376,14.100000
64875,4477386.451891,589577.783443,14.100000
64975,4477386.399614,589577.700944,14.100000
65080,4477386.345556,589577.618042,14.100000
65180,4477386.269206,589577.537018,14.100000
65281,4477386.212586,589577.444053,14.100000
65386,4477386.164944,589577.359293,14.100000
65486,4477386.120253,589577.270511,14.100000
65587,4477386.066258,589577.174292,14.100000
65688,4477386.029819,589577.079389,14.100000
65789,4477385.979168,589576.975071,14.100000
65891,4477385.953453,589576.867063,14.100000
65993,4477385.911464,589576.762896,14.100000
66093,4477385.882157,589576.660952,14.100000
66196,4477385.846527,589576.550094,14.100000
