timestamp,speed
10577,3.991332
10618,4.215896
10659,4.237500
10700,4.378750
10744,4.378750
10785,4.378750
10826,4.378750
10867,4.378750
10908,4.378750
10949,4.378750
10990,4.378750
11031,4.378750
11072,4.520000
11113,4.520000
11154,4.520000
11195,4.520000
11236,0.282500
11277,0.423750
11318,0.565000
11359,0.565000
11400,0.565000
11441,0.423750
11482,0.423750
11523,0.423750
11564,0.423750
11605,0.423750
11646,0.423750
11687,0.423750
11728,0.423750
11769,0.423750
11810,0.565000
11856,0.423750
11897,0.423750
11938,0.423750
11979,0.565000
12020,0.423750
12061,0.282500
12102,0.423750
12143,0.423750
12184,0.565000
12225,0.565000
12266,0.565000
12307,0.565000
12348,0.706250
12389,0.706250
12430,0.847500
12471,0.847500
12512,0.847500
12553,0.847500
12594,0.847500
12635,0.847500
12676,0.847500
12717,0.988750
12758,0.847500
12799,0.988750
12840,0.988750
12881,0.988750
12922,0.988750
12966,0.847500
13007,0.847500
13048,0.847500
13089,0.847500
13130,0.847500
13171,0.706250
13212,0.706250
13253,0.706250
13294,0.706250
13335,0.706250
13376,0.565000
13417,0.565000
13458,0.423750
13499,0.423750
13541,0.423750
13582,0.282500
13623,0.282500
13664,0.141250
13705,0.282500
13746,0.423750
13787,0.423750
13828,0.423750
13869,0.423750
13910,0.282500
13951,0.282500
13992,0.282500
14033,0.565000
14077,0.565000
14118,0.565000
14159,0.565000
14200,0.706250
14241,0.706250
14282,0.706250
14323,0.706250
14364,0.706250
14405,0.847500
14446,0.847500
14487,0.565000
14528,0.565000
14569,0.706250
14610,0.706250
14651,0.847500
14692,0.847500
14733,0.847500
14774,0.706250
14815,0.847500
14856,0.847500
14897,0.988750
14938,0.988750
14979,0.847500
15020,0.847500
15061,0.847500
15102,0.847500
15143,0.847500
15188,0.706250
15229,0.847500
15270,0.847500
15311,0.988750
15352,0.847500
15393,0.847500
15434,0.988750
15475,0.988750
15516,1.130000
15557,1.130000
15598,0.988750
15639,0.988750
15680,0.847500
15721,0.847500
15762,0.847500
15803,0.847500
15844,0.988750
15885,0.988750
15926,1.271250
15967,1.271250
16008,1.130000
16049,1.130000
16090,0.988750
16131,0.988750
16172,1.271250
16213,0.988750
16254,1.130000
16299,0.988750
16340,1.130000
16381,1.130000
16422,0.988750
16463,0.988750
16504,0.988750
16545,1.130000
16586,1.130000
16627,1.271250
16668,1.412500
16709,1.412500
16750,1.130000
16791,1.130000
16832,1.130000
16873,1.130000
16914,1.130000
16955,1.130000
16996,1.130000
17037,1.130000
17078,1.271250
17119,1.271250
17160,1.271250
17201,1.271250
17242,1.412500
17283,1.412500
17324,1.412500
17365,1.553750
17410,1.130000
17451,1.412500
17492,1.553750
17533,1.553750
17574,1.695000
17615,1.695000
17656,1.695000
17697,1.695000
17738,1.553750
17779,1.553750
17820,1.412500
17861,1.271250
17902,1.271250
17943,1.130000
17984,1.130000
18025,0.988750
18066,1.271250
18107,1.271250
18148,0.988750
18189,0.988750
18230,0.847500
18271,0.706250
18312,0.706250
18353,0.847500
18394,0.847500
18435,1.130000
18476,1.130000
18521,0.988750
18562,0.988750
18603,0.988750
18644,0.988750
18685,1.130000
18726,1.271250
18767,1.271250
18808,1.130000
18849,1.130000
18890,1.271250
18931,1.271250
18972,1.271250
19013,1.271250
19054,1.130000
19095,1.130000
19136,0.847500
19177,0.847500
19218,0.565000
19259,0.565000
19300,0.565000
19341,0.565000
19382,0.565000
19423,0.565000
19464,0.423750
19505,0.423750
19547,0.423750
19588,0.706250
19632,0.706250
19673,0.565000
19714,0.706250
19755,0.706250
19796,0.847500
19837,0.847500
19878,0.847500
19919,0.847500
19960,0.988750
20001,1.130000
20042,1.130000
20083,1.553750
20124,1.553750
20165,1.553750
20206,1.553750
20247,1.553750
20288,1.695000
20329,1.553750
20370,1.695000
20411,1.553750
20452,1.553750
20493,1.412500
20534,1.412500
20575,1.553750
20616,1.695000
20657,1.695000
20698,1.695000
20743,1.553750
20784,1.412500
20825,1.412500
20866,0.988750
20907,0.988750
20948,0.988750
20989,1.130000
21030,1.271250
21071,0.988750
21112,1.130000
21153,0.847500
21194,0.847500
21235,0.847500
21276,0.847500
21317,0.706250
21358,0.706250
21399,0.423750
21440,0.423750
21481,0.423750
21522,0.423750
21563,0.423750
21604,0.706250
21645,0.706250
21686,0.706250
21727,0.706250
21768,0.565000
21809,0.565000
21855,0.565000
